id_ibge,UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA,Unnamed: 5
1100015,RO,11,00015,Alta Floresta D'Oeste,22787,
1100023,RO,11,00023,Ariquemes,109170,
1100031,RO,11,00031,Cabixi,5664,
1100049,RO,11,00049,Cacoal,98280,
1100056,RO,11,00056,Cerejeiras,16966,
1100064,RO,11,00064,Colorado do Oeste,16508,
1100072,RO,11,00072,Corumbiara,7968,
1100080,RO,11,00080,Costa Marques,13510,
1100098,RO,11,00098,Espigão D'Oeste,32842,
1100106,RO,11,00106,Guajará-Mirim,43594,
1100114,RO,11,00114,Jaru,55682,
1100122,RO,11,00122,Ji-Paraná,140101,
1100130,RO,11,00130,Machadinho D'Oeste,34149,
1100148,RO,11,00148,Nova Brasilândia D'Oeste,16374,
1100155,RO,11,00155,Ouro Preto do Oeste,38684,
1100189,RO,11,00189,Pimenta Bueno,39220,
1100205,RO,11,00205,Porto Velho,517709,
1100254,RO,11,00254,Presidente Médici,20443,
1100262,RO,11,00262,Rio Crespo,3767,
1100288,RO,11,00288,Rolim de Moura,62959,
1100296,RO,11,00296,Santa Luzia D'Oeste,7837,
1100304,RO,11,00304,Vilhena,109651,
1100320,RO,11,00320,São Miguel do Guaporé,22305,
1100338,RO,11,00338,Nova Mamoré,28701,
1100346,RO,11,00346,Alvorada D'Oeste,13720,
1100379,RO,11,00379,Alto Alegre dos Parecis,12237,
1100403,RO,11,00403,Alto Paraíso,17467,
1100452,RO,11,00452,Buritis,30649,
1100502,RO,11,00502,Novo Horizonte do Oeste,7972,
1100601,RO,11,00601,Cacaulândia,4292,
1100700,RO,11,00700,Campo Novo de Rondônia,9095,
1100809,RO,11,00809,Candeias do Jamari,24313,
1100908,RO,11,00908,Castanheiras,3450,
1100924,RO,11,00924,Chupinguaia,10191,
1100940,RO,11,00940,Cujubim,15877,
1101005,RO,11,01005,Governador Jorge Teixeira,8340,
1101104,RO,11,01104,Itapuã do Oeste,9228,
1101203,RO,11,01203,Ministro Andreazza,6519,
1101302,RO,11,01302,Mirante da Serra,9657,
1101401,RO,11,01401,Monte Negro,12168,
1101435,RO,11,01435,Nova União,6541,
1101450,RO,11,01450,Parecis,4372,
1101468,RO,11,01468,Pimenteiras do Oeste,2309,
1101476,RO,11,01476,Primavera de Rondônia,3268,
1101484,RO,11,01484,São Felipe D'Oeste,5588,
1101492,RO,11,01492,São Francisco do Guaporé,17557,
1101500,RO,11,01500,Seringueiras,12965,
1101559,RO,11,01559,Teixeirópolis,4521,
1101609,RO,11,01609,Theobroma,8459,
1101708,RO,11,01708,Urupá,11314,
1101757,RO,11,01757,Vale do Anari,8220,
1101807,RO,11,01807,Vale do Paraíso,6790,
1200013,AC,12,00013,Acrelândia,14712,
1200054,AC,12,00054,Assis Brasil,8648,
1200104,AC,12,00104,Brasiléia,28028,
1200138,AC,12,00138,Bujari,13928,
1200179,AC,12,00179,Capixaba,10981,
1200203,AC,12,00203,Cruzeiro do Sul,98916,
1200252,AC,12,00252,Epitaciolândia,19874,
1200302,AC,12,00302,Feijó,37764,
1200328,AC,12,00328,Jordão,9884,
1200336,AC,12,00336,Mâncio Lima,20479,
1200344,AC,12,00344,Manoel Urbano,12923,
1200351,AC,12,00351,Marechal Thaumaturgo,18057,
1200385,AC,12,00385,Plácido de Castro,17107,
1200393,AC,12,00393,Porto Walter,11333,
1200401,AC,12,00401,Rio Branco,389001,
1200427,AC,12,00427,Rodrigues Alves,15560,
1200435,AC,12,00435,Santa Rosa do Purus,7217,
1200450,AC,12,00450,Senador Guiomard,22402,
1200500,AC,12,00500,Sena Madureira,44049,
1200609,AC,12,00609,Tarauacá,46816,
1200708,AC,12,00708,Xapuri,19170,
1200807,AC,12,00807,Porto Acre,17523,
1300029,AM,13,00029,Alvarães,16806,(1)
1300060,AM,13,00060,Amaturá,11533,(2)
1300086,AM,13,00086,Anamã,9981,
1300102,AM,13,00102,Anori,18056,
1300144,AM,13,00144,Apuí,21781,(3)
1300201,AM,13,00201,Atalaia do Norte,15889,
1300300,AM,13,00300,Autazes,45960,
1300409,AM,13,00409,Barcelos,18210,(4)
1300508,AM,13,00508,Barreirinha,33722,
1300607,AM,13,00607,Benjamin Constant,40908,(5)
1300631,AM,13,00631,Beruri,22495,
1300680,AM,13,00680,Boa Vista do Ramos,26479,
1300706,AM,13,00706,Boca do Acre,38792,
1300805,AM,13,00805,Borba,34869,
1300839,AM,13,00839,Caapiranga,14806,
1300904,AM,13,00904,Canutama,18109,(6)
1301001,AM,13,01001,Carauari,31130,
1301100,AM,13,01100,Careiro,32336,(7)
1301159,AM,13,01159,Careiro da Várzea,20324,(8)
1301209,AM,13,01209,Coari,73576,
1301308,AM,13,01308,Codajás,24572,(9)
1301407,AM,13,01407,Eirunepé,35793,
1301506,AM,13,01506,Envira,17985,(10)
1301605,AM,13,01605,Fonte Boa,28227,(11)
1301654,AM,13,01654,Guajará,14344,(12)
1301704,AM,13,01704,Humaitá,63454,
1301803,AM,13,01803,Ipixuna,25629,
1301852,AM,13,01852,Iranduba,68862,
1301902,AM,13,01902,Itacoatiara,113917,(13)
1301951,AM,13,01951,Itamarati,11956,(14)
1302009,AM,13,02009,Itapiranga,10955,
1302108,AM,13,02108,Japurá,9420,(15)
1302207,AM,13,02207,Juruá,11093,(16)
1302306,AM,13,02306,Jutaí,28202,
1302405,AM,13,02405,Lábrea,49469,
1302504,AM,13,02504,Manacapuru,111751,(17)
1302553,AM,13,02553,Manaquiri,16211,
1302603,AM,13,02603,Manaus,2303732,
1302702,AM,13,02702,Manicoré,58018,
1302801,AM,13,02801,Maraã,15815,
1302900,AM,13,02900,Maués,66336,
1303007,AM,13,03007,Nhamundá,21251,
1303106,AM,13,03106,Nova Olinda do Norte,28123,
1303205,AM,13,03205,Novo Airão,16562,(18)
1303304,AM,13,03304,Novo Aripuanã,25325,
1303403,AM,13,03403,Parintins,101855,(19)
1303502,AM,13,03502,Pauini,20229,
1303536,AM,13,03536,Presidente Figueiredo,33291,
1303569,AM,13,03569,Rio Preto da Eva,25364,(20)
1303601,AM,13,03601,Santa Isabel do Rio Negro,13947,
1303700,AM,13,03700,Santo Antônio do Içá,30679,
1303809,AM,13,03809,São Gabriel da Cachoeira,57396,(21)
1303908,AM,13,03908,São Paulo de Olivença,35442,(22)
1303957,AM,13,03957,São Sebastião do Uatumã,12338,
1304005,AM,13,04005,Silves,12619,
1304062,AM,13,04062,Tabatinga,73348,
1304104,AM,13,04104,Tapauá,20728,
1304203,AM,13,04203,Tefé,80137,
1304237,AM,13,04237,Tonantins,20257,(23)
1304260,AM,13,04260,Uarini,15640,(24)
1304302,AM,13,04302,Urucará,19617,(25)
1304401,AM,13,04401,Urucurituba,25965,(26)
1400027,RR,14,00027,Amajari,16112,
1400050,RR,14,00050,Alto Alegre,23589,
1400100,RR,14,00100,Boa Vista,485477,
1400159,RR,14,00159,Bonfim,15570,
1400175,RR,14,00175,Cantá,21102,
1400209,RR,14,00209,Caracaraí,22750,
1400233,RR,14,00233,Caroebe,12004,
1400282,RR,14,00282,Iracema,10937,
1400308,RR,14,00308,Mucajaí,20006,
1400407,RR,14,00407,Normandia,16323,
1400456,RR,14,00456,Pacaraima,23112,
1400472,RR,14,00472,Rorainópolis,37787,
1400506,RR,14,00506,São João da Baliza,9969,
1400605,RR,14,00605,São Luiz,7848,
1400704,RR,14,00704,Uiramutã,16186,
1500107,PA,15,00107,Abaetetuba,172344,
