id_ibge,nome,uf_sigla,uf_nome,regiao,POPULAÇÃO ESTIMADA
1100015,Alta Floresta D'Oeste,RO,Rondônia,Norte,22787
1100023,Ariquemes,RO,Rondônia,Norte,109170
1100031,Cabixi,RO,Rondônia,Norte,5664
1100049,Cacoal,RO,Rondônia,Norte,98280
1100056,Cerejeiras,RO,Rondônia,Norte,16966
1100064,Colorado do Oeste,RO,Rondônia,Norte,16508
1100072,Corumbiara,RO,Rondônia,Norte,7968
1100080,Costa Marques,RO,Rondônia,Norte,13510
1100098,Espigão D'Oeste,RO,Rondônia,Norte,32842
1100106,Guajará-Mirim,RO,Rondônia,Norte,43594
1100114,Jaru,RO,Rondônia,Norte,55682
1100122,Ji-Paraná,RO,Rondônia,Norte,140101
1100130,Machadinho D'Oeste,RO,Rondônia,Norte,34149
1100148,Nova Brasilândia D'Oeste,RO,Rondônia,Norte,16374
1100155,Ouro Preto do Oeste,RO,Rondônia,Norte,38684
1100189,Pimenta Bueno,RO,Rondônia,Norte,39220
1100205,Porto Velho,RO,Rondônia,Norte,517709
1100254,Presidente Médici,RO,Rondônia,Norte,20443
1100262,Rio Crespo,RO,Rondônia,Norte,3767
1100288,Rolim de Moura,RO,Rondônia,Norte,62959
1100296,Santa Luzia D'Oeste,RO,Rondônia,Norte,7837
1100304,Vilhena,RO,Rondônia,Norte,109651
1100320,São Miguel do Guaporé,RO,Rondônia,Norte,22305
1100338,Nova Mamoré,RO,Rondônia,Norte,28701
1100346,Alvorada D'Oeste,RO,Rondônia,Norte,13720
1100379,Alto Alegre dos Parecis,RO,Rondônia,Norte,12237
1100403,Alto Paraíso,RO,Rondônia,Norte,17467
1100452,Buritis,RO,Rondônia,Norte,30649
1100502,Novo Horizonte do Oeste,RO,Rondônia,Norte,7972
1100601,Cacaulândia,RO,Rondônia,Norte,4292
1100700,Campo Novo de Rondônia,RO,Rondônia,Norte,9095
1100809,Candeias do Jamari,RO,Rondônia,Norte,24313
1100908,Castanheiras,RO,Rondônia,Norte,3450
1100924,Chupinguaia,RO,Rondônia,Norte,10191
1100940,Cujubim,RO,Rondônia,Norte,15877
1101005,Governador Jorge Teixeira,RO,Rondônia,Norte,8340
1101104,Itapuã do Oeste,RO,Rondônia,Norte,9228
1101203,Ministro Andreazza,RO,Rondônia,Norte,6519
1101302,Mirante da Serra,RO,Rondônia,Norte,9657
1101401,Monte Negro,RO,Rondônia,Norte,12168
1101435,Nova União,RO,Rondônia,Norte,6541
1101450,Parecis,RO,Rondônia,Norte,4372
1101468,Pimenteiras do Oeste,RO,Rondônia,Norte,2309
1101476,Primavera de Rondônia,RO,Rondônia,Norte,3268
1101484,São Felipe D'Oeste,RO,Rondônia,Norte,5588
1101492,São Francisco do Guaporé,RO,Rondônia,Norte,17557
1101500,Seringueiras,RO,Rondônia,Norte,12965
1101559,Teixeirópolis,RO,Rondônia,Norte,4521
1101609,Theobroma,RO,Rondônia,Norte,8459
1101708,Urupá,RO,Rondônia,Norte,11314
1101757,Vale do Anari,RO,Rondônia,Norte,8220
1101807,Vale do Paraíso,RO,Rondônia,Norte,6790
1200013,Acrelândia,AC,Acre,Norte,14712
1200054,Assis Brasil,AC,Acre,Norte,8648
1200104,Brasiléia,AC,Acre,Norte,28028
1200138,Bujari,AC,Acre,Norte,13928
1200179,Capixaba,AC,Acre,Norte,10981
